date,month#,DofM,year,month,mmm-yy,week,quarter,day
7/17/2017,7,17,2017,Jul,Jul-17,29,Q3,Mon
7/18/2017,7,18,2017,Jul,Jul-17,29,Q3,Tue
7/19/2017,7,19,2017,Jul,Jul-17,29,Q3,Wed
7/20/2017,7,20,2017,Jul,Jul-17,29,Q3,Thu
7/21/2017,7,21,2017,Jul,Jul-17,29,Q3,Fri
7/22/2017,7,22,2017,Jul,Jul-17,29,Q3,Sat
7/23/2017,7,23,2017,Jul,Jul-17,30,Q3,Sun
7/24/2017,7,24,2017,Jul,Jul-17,30,Q3,Mon
7/25/2017,7,25,2017,Jul,Jul-17,30,Q3,Tue
7/26/2017,7,26,2017,Jul,Jul-17,30,Q3,Wed
7/27/2017,7,27,2017,Jul,Jul-17,30,Q3,Thu
7/28/2017,7,28,2017,Jul,Jul-17,30,Q3,Fri
7/29/2017,7,29,2017,Jul,Jul-17,30,Q3,Sat
7/30/2017,7,30,2017,Jul,Jul-17,31,Q3,Sun
7/31/2017,7,31,2017,Jul,Jul-17,31,Q3,Mon
8/1/2017,8,1,2017,Aug,Aug-17,31,Q3,Tue
8/2/2017,8,2,2017,Aug,Aug-17,31,Q3,Wed
8/3/2017,8,3,2017,Aug,Aug-17,31,Q3,Thu
8/4/2017,8,4,2017,Aug,Aug-17,31,Q3,Fri
8/5/2017,8,5,2017,Aug,Aug-17,31,Q3,Sat
8/6/2017,8,6,2017,Aug,Aug-17,32,Q3,Sun
8/7/2017,8,7,2017,Aug,Aug-17,32,Q3,Mon
8/8/2017,8,8,2017,Aug,Aug-17,32,Q3,Tue
8/9/2017,8,9,2017,Aug,Aug-17,32,Q3,Wed
8/10/2017,8,10,2017,Aug,Aug-17,32,Q3,Thu
8/11/2017,8,11,2017,Aug,Aug-17,32,Q3,Fri
8/12/2017,8,12,2017,Aug,Aug-17,32,Q3,Sat
8/13/2017,8,13,2017,Aug,Aug-17,33,Q3,Sun
8/14/2017,8,14,2017,Aug,Aug-17,33,Q3,Mon
8/15/2017,8,15,2017,Aug,Aug-17,33,Q3,Tue
8/16/2017,8,16,2017,Aug,Aug-17,33,Q3,Wed
8/17/2017,8,17,2017,Aug,Aug-17,33,Q3,Thu
8/18/2017,8,18,2017,Aug,Aug-17,33,Q3,Fri
8/19/2017,8,19,2017,Aug,Aug-17,33,Q3,Sat
8/20/2017,8,20,2017,Aug,Aug-17,34,Q3,Sun
8/21/2017,8,21,2017,Aug,Aug-17,34,Q3,Mon
8/22/2017,8,22,2017,Aug,Aug-17,34,Q3,Tue
8/23/2017,8,23,2017,Aug,Aug-17,34,Q3,Wed
8/24/2017,8,24,2017,Aug,Aug-17,34,Q3,Thu
8/25/2017,8,25,2017,Aug,Aug-17,34,Q3,Fri
8/26/2017,8,26,2017,Aug,Aug-17,34,Q3,Sat
8/27/2017,8,27,2017,Aug,Aug-17,35,Q3,Sun
8/28/2017,8,28,2017,Aug,Aug-17,35,Q3,Mon
8/29/2017,8,29,2017,Aug,Aug-17,35,Q3,Tue
8/30/2017,8,30,2017,Aug,Aug-17,35,Q3,Wed
8/31/2017,8,31,2017,Aug,Aug-17,35,Q3,Thu
9/1/2017,9,1,2017,Sep,Sep-17,35,Q3,Fri
9/2/2017,9,2,2017,Sep,Sep-17,35,Q3,Sat
9/3/2017,9,3,2017,Sep,Sep-17,36,Q3,Sun
9/4/2017,9,4,2017,Sep,Sep-17,36,Q3,Mon
9/5/2017,9,5,2017,Sep,Sep-17,36,Q3,Tue
9/6/2017,9,6,2017,Sep,Sep-17,36,Q3,Wed
9/7/2017,9,7,2017,Sep,Sep-17,36,Q3,Thu
9/8/2017,9,8,2017,Sep,Sep-17,36,Q3,Fri
9/9/2017,9,9,2017,Sep,Sep-17,36,Q3,Sat
9/10/2017,9,10,2017,Sep,Sep-17,37,Q3,Sun
9/11/2017,9,11,2017,Sep,Sep-17,37,Q3,Mon
9/12/2017,9,12,2017,Sep,Sep-17,37,Q3,Tue
9/13/2017,9,13,2017,Sep,Sep-17,37,Q3,Wed
9/14/2017,9,14,2017,Sep,Sep-17,37,Q3,Thu
9/15/2017,9,15,2017,Sep,Sep-17,37,Q3,Fri
9/16/2017,9,16,2017,Sep,Sep-17,37,Q3,Sat
9/17/2017,9,17,2017,Sep,Sep-17,38,Q3,Sun
9/18/2017,9,18,2017,Sep,Sep-17,38,Q3,Mon
9/19/2017,9,19,2017,Sep,Sep-17,38,Q3,Tue
9/20/2017,9,20,2017,Sep,Sep-17,38,Q3,Wed
9/21/2017,9,21,2017,Sep,Sep-17,38,Q3,Thu
9/22/2017,9,22,2017,Sep,Sep-17,38,Q3,Fri
9/23/2017,9,23,2017,Sep,Sep-17,38,Q3,Sat
9/24/2017,9,24,2017,Sep,Sep-17,39,Q3,Sun
9/25/2017,9,25,2017,Sep,Sep-17,39,Q3,Mon
9/26/2017,9,26,2017,Sep,Sep-17,39,Q3,Tue
9/27/2017,9,27,2017,Sep,Sep-17,39,Q3,Wed
9/28/2017,9,28,2017,Sep,Sep-17,39,Q3,Thu
9/29/2017,9,29,2017,Sep,Sep-17,39,Q3,Fri
9/30/2017,9,30,2017,Sep,Sep-17,39,Q3,Sat
10/1/2017,10,1,2017,Oct,Oct-17,40,Q4,Sun
10/2/2017,10,2,2017,Oct,Oct-17,40,Q4,Mon
10/3/2017,10,3,2017,Oct,Oct-17,40,Q4,Tue
10/4/2017,10,4,2017,Oct,Oct-17,40,Q4,Wed
10/5/2017,10,5,2017,Oct,Oct-17,40,Q4,Thu
10/6/2017,10,6,2017,Oct,Oct-17,40,Q4,Fri
10/7/2017,10,7,2017,Oct,Oct-17,40,Q4,Sat
10/8/2017,10,8,2017,Oct,Oct-17,41,Q4,Sun
10/9/2017,10,9,2017,Oct,Oct-17,41,Q4,Mon
10/10/2017,10,10,2017,Oct,Oct-17,41,Q4,Tue
10/11/2017,10,11,2017,Oct,Oct-17,41,Q4,Wed
10/12/2017,10,12,2017,Oct,Oct-17,41,Q4,Thu
10/13/2017,10,13,2017,Oct,Oct-17,41,Q4,Fri
10/14/2017,10,14,2017,Oct,Oct-17,41,Q4,Sat
10/15/2017,10,15,2017,Oct,Oct-17,42,Q4,Sun
10/16/2017,10,16,2017,Oct,Oct-17,42,Q4,Mon
10/17/2017,10,17,2017,Oct,Oct-17,42,Q4,Tue
10/18/2017,10,18,2017,Oct,Oct-17,42,Q4,Wed
10/19/2017,10,19,2017,Oct,Oct-17,42,Q4,Thu
10/20/2017,10,20,2017,Oct,Oct-17,42,Q4,Fri
10/21/2017,10,21,2017,Oct,Oct-17,42,Q4,Sat
10/22/2017,10,22,2017,Oct,Oct-17,43,Q4,Sun
10/23/2017,10,23,2017,Oct,Oct-17,43,Q4,Mon
10/24/2017,10,24,2017,Oct,Oct-17,43,Q4,Tue
10/25/2017,10,25,2017,Oct,Oct-17,43,Q4,Wed
10/26/2017,10,26,2017,Oct,Oct-17,43,Q4,Thu
10/27/2017,10,27,2017,Oct,Oct-17,43,Q4,Fri
10/28/2017,10,28,2017,Oct,Oct-17,43,Q4,Sat
10/29/2017,10,29,2017,Oct,Oct-17,44,Q4,Sun
10/30/2017,10,30,2017,Oct,Oct-17,44,Q4,Mon
10/31/2017,10,31,2017,Oct,Oct-17,44,Q4,Tue
11/1/2017,11,1,2017,Nov,Nov-17,44,Q4,Wed
11/2/2017,11,2,2017,Nov,Nov-17,44,Q4,Thu
11/3/2017,11,3,2017,Nov,Nov-17,44,Q4,Fri
11/4/2017,11,4,2017,Nov,Nov-17,44,Q4,Sat
11/5/2017,11,5,2017,Nov,Nov-17,45,Q4,Sun
11/6/2017,11,6,2017,Nov,Nov-17,45,Q4,Mon
11/7/2017,11,7,2017,Nov,Nov-17,45,Q4,Tue
11/8/2017,11,8,2017,Nov,Nov-17,45,Q4,Wed
11/9/2017,11,9,2017,Nov,Nov-17,45,Q4,Thu
11/10/2017,11,10,2017,Nov,Nov-17,45,Q4,Fri
11/11/2017,11,11,2017,Nov,Nov-17,45,Q4,Sat
11/12/2017,11,12,2017,Nov,Nov-17,46,Q4,Sun
11/13/2017,11,13,2017,Nov,Nov-17,46,Q4,Mon
11/14/2017,11,14,2017,Nov,Nov-17,46,Q4,Tue
11/15/2017,11,15,2017,Nov,Nov-17,46,Q4,Wed
11/16/2017,11,16,2017,Nov,Nov-17,46,Q4,Thu
11/17/2017,11,17,2017,Nov,Nov-17,46,Q4,Fri
11/18/2017,11,18,2017,Nov,Nov-17,46,Q4,Sat
11/19/2017,11,19,2017,Nov,Nov-17,47,Q4,Sun
11/20/2017,11,20,2017,Nov,Nov-17,47,Q4,Mon
11/21/2017,11,21,2017,Nov,Nov-17,47,Q4,Tue
11/22/2017,11,22,2017,Nov,Nov-17,47,Q4,Wed
11/23/2017,11,23,2017,Nov,Nov-17,47,Q4,Thu
11/24/2017,11,24,2017,Nov,Nov-17,47,Q4,Fri
11/25/2017,11,25,2017,Nov,Nov-17,47,Q4,Sat
11/26/2017,11,26,2017,Nov,Nov-17,48,Q4,Sun
11/27/2017,11,27,2017,Nov,Nov-17,48,Q4,Mon
11/28/2017,11,28,2017,Nov,Nov-17,48,Q4,Tue
11/29/2017,11,29,2017,Nov,Nov-17,48,Q4,Wed
11/30/2017,11,30,2017,Nov,Nov-17,48,Q4,Thu
12/1/2017,12,1,2017,Dec,Dec-17,48,Q4,Fri
12/2/2017,12,2,2017,Dec,Dec-17,48,Q4,Sat
12/3/2017,12,3,2017,Dec,Dec-17,49,Q4,Sun
12/4/2017,12,4,2017,Dec,Dec-17,49,Q4,Mon
12/5/2017,12,5,2017,Dec,Dec-17,49,Q4,Tue
12/6/2017,12,6,2017,Dec,Dec-17,49,Q4,Wed
12/7/2017,12,7,2017,Dec,Dec-17,49,Q4,Thu
12/8/2017,12,8,2017,Dec,Dec-17,49,Q4,Fri
12/9/2017,12,9,2017,Dec,Dec-17,49,Q4,Sat
12/10/2017,12,10,2017,Dec,Dec-17,50,Q4,Sun
12/11/2017,12,11,2017,Dec,Dec-17,50,Q4,Mon
12/12/2017,12,12,2017,Dec,Dec-17,50,Q4,Tue
12/13/2017,12,13,2017,Dec,Dec-17,50,Q4,Wed
12/14/2017,12,14,2017,Dec,Dec-17,50,Q4,Thu
12/15/2017,12,15,2017,Dec,Dec-17,50,Q4,Fri
12/16/2017,12,16,2017,Dec,Dec-17,50,Q4,Sat
12/17/2017,12,17,2017,Dec,Dec-17,51,Q4,Sun
12/18/2017,12,18,2017,Dec,Dec-17,51,Q4,Mon
12/19/2017,12,19,2017,Dec,Dec-17,51,Q4,Tue
12/20/2017,12,20,2017,Dec,Dec-17,51,Q4,Wed
12/21/2017,12,21,2017,Dec,Dec-17,51,Q4,Thu
12/22/2017,12,22,2017,Dec,Dec-17,51,Q4,Fri
12/23/2017,12,23,2017,Dec,Dec-17,51,Q4,Sat
12/24/2017,12,24,2017,Dec,Dec-17,52,Q4,Sun
12/25/2017,12,25,2017,Dec,Dec-17,52,Q4,Mon
12/26/2017,12,26,2017,Dec,Dec-17,52,Q4,Tue
12/27/2017,12,27,2017,Dec,Dec-17,52,Q4,Wed
12/28/2017,12,28,2017,Dec,Dec-17,52,Q4,Thu
12/29/2017,12,29,2017,Dec,Dec-17,52,Q4,Fri
12/30/2017,12,30,2017,Dec,Dec-17,52,Q4,Sat
12/31/2017,12,31,2017,Dec,Dec-17,53,Q4,Sun
1/1/2018,1,1,2018,Jan,Jan-18,1,Q1,Mon
1/2/2018,1,2,2018,Jan,Jan-18,1,Q1,Tue
1/3/2018,1,3,2018,Jan,Jan-18,1,Q1,Wed
1/4/2018,1,4,2018,Jan,Jan-18,1,Q1,Thu
1/5/2018,1,5,2018,Jan,Jan-18,1,Q1,Fri
1/6/2018,1,6,2018,Jan,Jan-18,1,Q1,Sat
1/7/2018,1,7,2018,Jan,Jan-18,2,Q1,Sun
1/8/2018,1,8,2018,Jan,Jan-18,2,Q1,Mon
1/9/2018,1,9,2018,Jan,Jan-18,2,Q1,Tue
1/10/2018,1,10,2018,Jan,Jan-18,2,Q1,Wed
1/11/2018,1,11,2018,Jan,Jan-18,2,Q1,Thu
1/12/2018,1,12,2018,Jan,Jan-18,2,Q1,Fri
1/13/2018,1,13,2018,Jan,Jan-18,2,Q1,Sat
1/14/2018,1,14,2018,Jan,Jan-18,3,Q1,Sun
1/15/2018,1,15,2018,Jan,Jan-18,3,Q1,Mon
1/16/2018,1,16,2018,Jan,Jan-18,3,Q1,Tue
1/17/2018,1,17,2018,Jan,Jan-18,3,Q1,Wed
1/18/2018,1,18,2018,Jan,Jan-18,3,Q1,Thu
1/19/2018,1,19,2018,Jan,Jan-18,3,Q1,Fri
1/20/2018,1,20,2018,Jan,Jan-18,3,Q1,Sat
1/21/2018,1,21,2018,Jan,Jan-18,4,Q1,Sun
1/22/2018,1,22,2018,Jan,Jan-18,4,Q1,Mon
1/23/2018,1,23,2018,Jan,Jan-18,4,Q1,Tue
1/24/2018,1,24,2018,Jan,Jan-18,4,Q1,Wed
1/25/2018,1,25,2018,Jan,Jan-18,4,Q1,Thu
1/26/2018,1,26,2018,Jan,Jan-18,4,Q1,Fri
1/27/2018,1,27,2018,Jan,Jan-18,4,Q1,Sat
1/28/2018,1,28,2018,Jan,Jan-18,5,Q1,Sun
1/29/2018,1,29,2018,Jan,Jan-18,5,Q1,Mon
1/30/2018,1,30,2018,Jan,Jan-18,5,Q1,Tue
1/31/2018,1,31,2018,Jan,Jan-18,5,Q1,Wed
2/1/2018,2,1,2018,Feb,Feb-18,5,Q1,Thu
2/2/2018,2,2,2018,Feb,Feb-18,5,Q1,Fri
2/3/2018,2,3,2018,Feb,Feb-18,5,Q1,Sat
2/4/2018,2,4,2018,Feb,Feb-18,6,Q1,Sun
2/5/2018,2,5,2018,Feb,Feb-18,6,Q1,Mon
2/6/2018,2,6,2018,Feb,Feb-18,6,Q1,Tue
2/7/2018,2,7,2018,Feb,Feb-18,6,Q1,Wed
2/8/2018,2,8,2018,Feb,Feb-18,6,Q1,Thu
2/9/2018,2,9,2018,Feb,Feb-18,6,Q1,Fri
2/10/2018,2,10,2018,Feb,Feb-18,6,Q1,Sat
2/11/2018,2,11,2018,Feb,Feb-18,7,Q1,Sun
2/12/2018,2,12,2018,Feb,Feb-18,7,Q1,Mon
2/13/2018,2,13,2018,Feb,Feb-18,7,Q1,Tue
2/14/2018,2,14,2018,Feb,Feb-18,7,Q1,Wed
2/15/2018,2,15,2018,Feb,Feb-18,7,Q1,Thu
2/16/2018,2,16,2018,Feb,Feb-18,7,Q1,Fri
