date,month#,DofM,day,week,month,mmm-yy,quarter,year
8/23/2017,8,23,Wed,34,Aug,17-Aug,Q3,2017
8/24/2017,8,24,Thu,34,Aug,17-Aug,Q3,2017
8/25/2017,8,25,Fri,34,Aug,17-Aug,Q3,2017
8/26/2017,8,26,Sat,34,Aug,17-Aug,Q3,2017
8/27/2017,8,27,Sun,35,Aug,17-Aug,Q3,2017
8/28/2017,8,28,Mon,35,Aug,17-Aug,Q3,2017
8/29/2017,8,29,Tue,35,Aug,17-Aug,Q3,2017
8/30/2017,8,30,Wed,35,Aug,17-Aug,Q3,2017
8/31/2017,8,31,Thu,35,Aug,17-Aug,Q3,2017
9/1/2017,9,1,Fri,35,Sep,17-Sep,Q3,2017
9/2/2017,9,2,Sat,35,Sep,17-Sep,Q3,2017
9/3/2017,9,3,Sun,36,Sep,17-Sep,Q3,2017
9/4/2017,9,4,Mon,36,Sep,17-Sep,Q3,2017
9/5/2017,9,5,Tue,36,Sep,17-Sep,Q3,2017
9/6/2017,9,6,Wed,36,Sep,17-Sep,Q3,2017
9/7/2017,9,7,Thu,36,Sep,17-Sep,Q3,2017
9/8/2017,9,8,Fri,36,Sep,17-Sep,Q3,2017
9/9/2017,9,9,Sat,36,Sep,17-Sep,Q3,2017
9/10/2017,9,10,Sun,37,Sep,17-Sep,Q3,2017
9/11/2017,9,11,Mon,37,Sep,17-Sep,Q3,2017
9/12/2017,9,12,Tue,37,Sep,17-Sep,Q3,2017
9/13/2017,9,13,Wed,37,Sep,17-Sep,Q3,2017
9/14/2017,9,14,Thu,37,Sep,17-Sep,Q3,2017
9/15/2017,9,15,Fri,37,Sep,17-Sep,Q3,2017
9/16/2017,9,16,Sat,37,Sep,17-Sep,Q3,2017
9/17/2017,9,17,Sun,38,Sep,17-Sep,Q3,2017
9/18/2017,9,18,Mon,38,Sep,17-Sep,Q3,2017
9/19/2017,9,19,Tue,38,Sep,17-Sep,Q3,2017
9/20/2017,9,20,Wed,38,Sep,17-Sep,Q3,2017
9/21/2017,9,21,Thu,38,Sep,17-Sep,Q3,2017
9/22/2017,9,22,Fri,38,Sep,17-Sep,Q3,2017
9/23/2017,9,23,Sat,38,Sep,17-Sep,Q3,2017
